dataset,method,runs,pairwise_distance_distortion_mean,pairwise_distance_distortion_std,distance_rank_correlation_mean,distance_rank_correlation_std,knn_overlap_mean,knn_overlap_std,trustworthiness_mean,trustworthiness_std,continuity_mean,continuity_std,neighborhood_hit_mean,neighborhood_hit_std,silhouette_score_mean,silhouette_score_std,class_consistency_mean,class_consistency_std,elapsed_seconds_mean,elapsed_seconds_std
mnist_local,pca_2d,3,0.3743876616160075,0.004329248412838854,0.5042237893349221,0.01384386249925475,0.1378095238095238,0.002919168023617937,0.7401001719986241,0.013015397392203825,0.7401004471964224,0.01301558295637013,0.35714285714285715,0.020321229809053907,-0.0031603903238040707,0.0031338046437100254,0.41238095238095235,0.03692856375303105,0.2356,0.18643628044634086
mnist_local,gaussian_random_projection_32,3,0.09929173439741135,0.002108951939323115,0.7187111730154876,0.01498698672208676,0.4731904761904762,0.005608949764467304,0.9410524939800483,0.004216228766071599,0.9410522187822498,0.004216341775355801,0.5592380952380952,0.007882067249585276,0.015275667111078898,0.0027560677933704714,0.7252380952380952,0.009060141709733554,0.09896666666666666,0.005195724738239662
mnist_local,sparse_random_projection_32,3,0.09903428703546524,0.004242380405571278,0.7130231609950334,0.0412302628342107,0.47766666666666663,0.01301612465881399,0.939598624011008,0.009624754029761411,0.939598624011008,0.009624754029761411,0.5572380952380952,0.013569841177005739,0.012537610872338215,0.007370319822074072,0.7004761904761905,0.01083791112070578,0.0974,0.0031155523854794467
mnist_local,tsne_2d,3,0.3616844614346822,0.0013368202143712955,0.4269887565405514,0.010653286728337527,0.45599999999999996,0.007624700284061623,0.9317424148606811,0.0013351287911987121,0.9317424148606811,0.0013351287911987121,0.8211904761904761,0.014579985038360712,0.27880173921585083,0.018914461730723607,0.8795238095238095,0.0064241607443961965,2.877133333333333,0.030338570976380656
mnist_local,autoencoder_2d,3,0.48833902676900226,0.01721782490039336,0.5256276894986163,0.0875056684444865,0.28171428571428575,0.003057276365576096,0.8630718954248366,0.007268476530692306,0.8630720330237357,0.00726834125578233,0.5147142857142858,0.00694095603993427,-0.07229512929916382,0.034056882550595184,0.5980952380952381,0.005985621471417419,1.4810999999999999,0.18233783662933664
mnist_local,vae_2d,3,0.39268991351127625,0.005821972291627759,0.550870140985375,0.03488017251561572,0.18880952380952384,0.009125231025559911,0.7856302717578258,0.012195593613628557,0.7856304093567251,0.012195749939946108,0.37847619047619047,0.0012472191289246532,-0.025415541293720405,0.009341200020920027,0.4685714285714286,0.018331787195162066,1.4841333333333333,0.022247147132959656
mnist_local,cnn_autoencoder_2d,3,0.4178197185198466,0.007594233093712486,0.547822921861893,0.010344185611061294,0.22109523809523812,0.008774059891756319,0.8152539387684898,0.004271284332277123,0.8152539387684898,0.004271284332277157,0.4039523809523809,0.009214993205273825,-0.045905533557136856,0.011430067589065349,0.49761904761904757,0.018856180831641256,3.4802666666666666,0.8744996639348822
twenty_newsgroups,pca_2d,3,0.7310743613982567,0.0026992275378751904,0.08248345704053242,0.010579532377878455,0.03223809523809523,0.010543291598567607,0.602482421740626,0.009073585934754056,0.6041045751633988,0.008275624337148475,0.5068571428571428,0.020073673827986267,-0.04489737183964374,0.007477978661159198,0.5800000000000001,0.0290202837813192,0.3388,0.008258732751861298
twenty_newsgroups,gaussian_random_projection_32,3,0.09905780478978175,0.0005705164956391124,0.27303148042970965,0.004941549589554057,0.3466190476190476,0.024950108947817008,0.903072858617131,0.010501583268909796,0.903545373237014,0.011373504581758865,0.31042857142857144,0.003406676118575199,-0.004477965080421632,0.0004108610545842475,0.3738095238095238,0.009428090415820633,0.33759999999999996,0.009994331726867305
twenty_newsgroups,sparse_random_projection_32,3,0.16027598732265763,0.0035993306826502315,0.21328328708518365,0.00795865037797344,0.16114285714285714,0.030012242400019883,0.6918460268317853,0.03549965585793296,0.6808733402132784,0.026850009470555648,0.3160476190476191,0.006850525907944538,-0.012227419512150001,0.0019435303226157448,0.37809523809523804,0.004096345365258398,0.3341,0.0031843366656181434
